EmployeeID,FirstName,LastName,DateOfJoining,DateOfBirth,Age,WorkLocation,DateOfLeaving,Salary,ManagerID,Department,ReasonForLeaving,Gender,JobRole,PerformanceRating,Attrition
E000041,Vickie,Walker,2022-09-27,1992-02-01,32.0,Port Karenhaven,2025-09-10,97460.0,M0104,Marketing,Relocation,Female,Executive,3,Yes
E000042,Steven,Smith,2022-08-31,1997-01-12,27.0,Lopezside,2025-02-12,83623.0,M0011,Hr,Terminated,Male,Analyst,1,Yes
E000043,Lisa,Kim,2022-06-27,2000-09-10,24.0,South Anthony,2023-04-30,109501.0,M0061,Operations,Retired,Female,Engineer,4,Yes
E000044,Diana,Underwood,2023-08-19,1977-12-11,47.0,Cherylstad,2024-04-08,133079.0,M0037,Operations,Retired,Female,Consultant,2,Yes
E000045,Anne,Miller,2022-02-12,1970-02-22,54.0,Amyshire,2022-06-29,172247.0,M0029,Engineering,Retired,Female,Analyst,5,Yes
E000046,Alexandra,Baxter,2023-07-18,1999-05-25,25.0,Chasemouth,2024-03-08,191000.0,M0011,It,Retired,Male,Manager,5,Yes
E000047,Elizabeth,Carr,2021-08-14,1968-06-10,56.0,New Daniellefort,2023-08-17,135310.0,M0103,Operations,Health Issues,Male,Consultant,2,Yes
E000048,Sandra,Parker,2023-06-18,1973-05-21,51.0,Millerfort,2024-04-30,198899.0,M0086,Hr,Better Opportunity,Female,Engineer,5,Yes
E000049,Daniel,Smith,2021-08-19,1991-12-02,33.0,Holtport,2021-09-01,167489.0,M0019,Engineering,Retired,Female,Consultant,3,Yes
E004715,Alexandria,Floyd,2024-04-09,1995-09-07,29.0,South Jeffrey,2024-07-12,73370.0,M0097,It,Terminated,Female,Consultant,2,Yes
E000051,Shawn,Brooks,2022-04-23,1992-09-24,32.0,Pattonshire,2024-12-15,176718.0,M0050,It,Resigned,Female,Consultant,5,Yes
E000052,Lucas,Miranda,2023-12-03,1995-12-21,29.0,Lake Lauren,2025-07-09,41905.0,M0101,Marketing,Resigned,Male,Engineer,1,Yes
E000053,Melissa,Collier,2024-08-22,1989-04-20,35.0,Drewton,2025-10-25,189261.0,M0060,Finance,Retired,Male,Manager,2,Yes
E000054,Casey,Romero,2022-06-24,1997-02-21,26.0,Macdonaldmouth,2024-02-07,113995.0,M0037,Hr,Better Opportunity,Male,Executive,1,Yes
E000055,Anna,Ford,2021-08-27,1976-03-04,48.0,Johnton,2024-02-03,168756.0,M0015,Engineering,Better Opportunity,Female,Consultant,1,Yes
E000056,Jon,Newton,2021-10-12,1970-12-04,54.0,Valdeztown,2023-07-16,193126.0,M0083,Hr,Relocation,Male,Consultant,5,Yes
E000057,Kristen,Roberson,2022-03-29,1989-10-29,35.0,North Samuel,2025-05-27,192218.0,M0116,Marketing,Retired,Female,Analyst,3,Yes
E000058,Jacob,Henry,2024-09-02,1992-08-20,32.0,Sierrafurt,2024-11-29,175063.0,M0035,Sales,Terminated,Female,Consultant,3,Yes
E000059,Linda,Jennings,2023-05-25,1993-05-25,31.0,West Shawn,2025-01-06,39385.0,M0115,Marketing,Health Issues,Male,Executive,1,Yes
E000060,Kayla,Mitchell,2022-09-19,1980-07-10,44.0,Garcialand,2025-11-12,148268.0,M0104,Marketing,Health Issues,Male,Analyst,3,Yes
E000061,Ashley,Patterson,2023-01-08,1990-01-17,34.0,Patrickton,2024-02-21,108712.0,M0115,Engineering,Terminated,Female,Executive,2,Yes
E000062,Joel,Rubio,2022-08-25,1997-02-17,27.0,Mcgeeton,2022-10-20,81987.0,M0065,Finance,Terminated,Male,Consultant,5,Yes
E000063,Lisa,Davis,2022-06-11,1996-04-28,28.0,North Raymond,2024-11-07,124101.0,M0053,Operations,Retired,Female,Consultant,2,Yes
E000064,Brandon,Hall,2023-09-14,1985-07-20,39.0,Lake Curtisport,2024-07-18,40733.0,M0048,Marketing,Better Opportunity,Female,Consultant,1,Yes
E000065,Valerie,Juarez,2021-01-24,1971-02-06,53.0,Amyburgh,2021-01-31,30863.0,M0087,Marketing,Health Issues,Female,Consultant,4,Yes
E000066,Greg,Hudson,2021-08-18,1999-02-06,25.0,South Lisaburgh,2023-05-18,30964.0,M0120,It,Retired,Male,Consultant,2,Yes
E000067,Robert,Anderson,2023-09-13,1983-10-24,41.0,North Aliciafurt,2024-08-06,112828.0,M0060,Operations,Terminated,Female,Consultant,4,Yes
E000068,Catherine,Bishop,2022-11-28,1993-10-07,31.0,West Cody,2023-07-26,94601.0,M0088,Operations,Terminated,Female,Consultant,5,Yes
E000069,Patrick,Willis,2022-09-13,1994-01-09,31.0,South Samuel,2023-03-04,156539.0,M0046,Operations,Health Issues,Male,Analyst,4,Yes
E000070,Michael,Allen,2022-02-18,2003-09-15,21.0,Harperhaven,2024-12-21,155509.0,M0016,Hr,Health Issues,Male,Engineer,1,Yes
E000071,Veronica,Bryant,2021-08-17,1979-03-28,45.0,Lake Tyler,2023-03-10,37712.0,M0056,Operations,Resigned,Female,Executive,1,Yes
E000072,Bradley,Simon,2024-10-05,1967-02-07,57.0,Jessicaside,2024-12-31,130241.0,M0023,Marketing,Relocation,Female,Analyst,4,Yes
E000073,Jean,Martinez,2021-11-18,1994-12-13,29.0,Drakeshire,2024-03-20,45754.0,M0032,It,Health Issues,Male,Consultant,4,Yes
E000074,Kimberly,Davis,2024-09-02,1985-03-18,39.0,Owensstad,2024-12-21,108289.0,M0025,Operations,Resigned,Female,Executive,4,Yes
E000075,Donna,Jordan,2023-05-22,1980-12-08,44.0,Markport,2025-04-29,195409.0,M0093,Sales,Relocation,Male,Engineer,1,Yes
E000076,Kristy,Blanchard,2023-03-16,1989-09-06,35.0,Bryanport,2025-11-02,186911.0,M0007,Engineering,Terminated,Female,Analyst,5,Yes
E000077,Kim,Greene,2022-09-29,1992-08-01,32.0,Garzaville,2024-01-31,146445.0,M0054,Sales,Better Opportunity,Female,Manager,3,Yes
E000078,Natalie,Price,2023-09-01,1965-11-21,59.0,South Ashleymouth,2024-08-14,126621.0,M0007,Marketing,Better Opportunity,Female,Analyst,1,Yes
E000079,Thomas,Bradley,2023-02-07,1966-12-21,58.0,Theresafurt,2024-01-03,83135.0,M0022,Marketing,Better Opportunity,Female,Executive,3,Yes
E000080,Wendy,Young,2023-10-26,1989-12-23,35.0,West Tyler,2024-08-05,142086.0,M0095,Sales,Better Opportunity,Male,Engineer,1,Yes
E000081,Roberto,Conley,2022-01-07,1976-10-03,45.0,Lake Kelly,2022-07-21,64682.0,M0107,Engineering,Terminated,Male,Analyst,4,Yes
E000082,Mary,Oneill,2022-05-15,1986-04-27,38.0,North Marioburgh,2025-05-19,43244.0,M0006,It,Health Issues,Female,Manager,3,Yes
E000083,Madison,Vargas,2021-08-26,1984-10-07,40.0,Shermanshire,2022-09-13,181738.0,M0070,Finance,Terminated,Female,Engineer,2,Yes
E000084,Peggy,Stark,2024-11-08,1987-06-23,37.0,Lake Jennifer,2025-03-18,169310.0,M0003,Hr,Terminated,Female,Consultant,2,Yes
E000085,Sally,Yates,2023-02-04,1995-10-12,29.0,Port Cassandraburgh,2025-09-09,58490.0,M0004,Sales,Health Issues,Female,Manager,4,Yes
E000086,Matthew,Ferguson,2021-03-23,1975-01-18,49.0,South Carlos,2022-06-07,198731.0,M0030,Finance,Resigned,Male,Executive,4,Yes
E000087,Kelly,Jones,2022-09-23,1983-05-16,41.0,Colonport,2025-08-22,102541.0,M0046,Marketing,Better Opportunity,Female,Engineer,3,Yes
E000088,Monica,Ellis,2023-08-09,1972-07-07,52.0,Williamston,2023-09-27,150221.0,M0051,Marketing,Terminated,Female,Engineer,4,Yes
E000089,Jody,Meadows,2023-11-04,1995-09-21,29.0,New Susan,2024-02-05,185841.0,M0063,Finance,Better Opportunity,Female,Manager,5,Yes
E000090,Kevin,Santos,2023-03-16,2004-02-07,20.0,South Holly,2024-07-01,166908.0,M0023,Operations,Terminated,Male,Manager,5,Yes
E000091,Briana,Jones,2023-07-10,1969-08-24,55.0,North Elizabethchester,2025-05-06,45000.0,M0026,Engineering,Relocation,Female,Manager,3,Yes
E000092,Colleen,Stevens,2022-03-15,1976-08-24,48.0,Lake Thomas,2024-09-11,124444.0,M0068,Finance,Relocation,Female,Analyst,2,Yes
E000093,Lisa,Moore,2022-09-30,2000-09-28,24.0,Amandaport,2025-10-25,107557.0,M0034,Finance,Terminated,Female,Consultant,4,Yes
E000094,Jennifer,Meyer,2023-12-15,1989-06-18,35.0,Gailport,2024-12-12,42272.0,M0118,Marketing,Resigned,Female,Manager,2,Yes
E000095,Andrew,Guzman,2022-10-30,1979-11-01,45.0,Jeremyburgh,2024-12-14,131000.0,M0051,Sales,Resigned,Male,Manager,5,Yes
E000096,Michael,Mccullough,2024-06-28,1966-08-17,58.0,Lawrencebury,2025-05-18,66319.0,M0110,Engineering,Retired,Male,Analyst,3,Yes
E000097,Victoria,Sparks,2024-05-13,1985-10-20,39.0,Coxchester,2025-09-23,158335.0,M0048,Marketing,Terminated,Female,Engineer,2,Yes
E000098,Andrew,Hobbs,2024-10-07,1984-11-26,40.0,Martinezshire,2025-01-23,112828.0,M0093,It,Relocation,Male,Engineer,5,Yes
E000099,Brian,Clark,2023-05-11,1990-05-03,34.0,Elizabethville,2024-08-24,165179.0,M0013,Sales,Relocation,Male,Executive,3,Yes
E000100,Angel,Washington,2021-04-15,1978-06-19,46.0,East Steveburgh,2024-03-15,196618.0,M0105,Hr,Retired,Male,Analyst,4,Yes
E000101,Jack,Martin,2024-10-06,1981-07-02,43.0,Christophertown,2025-06-12,144143.0,M0065,Engineering,Retired,Male,Manager,5,Yes
E004107,Christina,Miller,2021-11-07,1976-03-21,48.0,Bishopside,2024-12-16,105779.0,M0038,Engineering,Better Opportunity,Female,Executive,2,Yes
E000103,Paul,Beasley,2021-11-10,1995-01-08,30.0,Johnsontown,2023-12-11,59740.0,M0028,It,Better Opportunity,Male,Executive,1,Yes
E000104,Anna,Frank,2023-02-17,1999-02-28,25.0,South Michaelfort,2024-08-09,184371.0,M0020,Operations,Relocation,Female,Executive,2,Yes
E000105,William,Mason,2022-09-12,1969-03-19,55.0,Johnathanmouth,2024-10-19,97531.0,M0024,Hr,Resigned,Male,Engineer,2,Yes
E000106,Joseph,Adkins,2024-08-02,1984-07-21,40.0,Thomasmouth,2025-05-02,112828.0,M0055,Hr,Better Opportunity,Male,Executive,4,Yes
E000107,Nicole,Miles,2024-06-10,1969-11-25,55.0,South Tonya,2025-05-07,96287.0,M0058,Engineering,Relocation,Male,Consultant,5,Yes
E000108,Shannon,Freeman,2022-02-21,1973-08-25,51.0,Lake Chadburgh,2023-04-29,109504.0,M0063,Sales,Better Opportunity,Female,Executive,4,Yes
E000109,John,Jones,2022-01-29,1988-12-25,36.0,Kevinland,2025-09-18,53974.0,M0012,Operations,Better Opportunity,Male,Analyst,4,Yes
E000110,Dustin,Dean,2021-03-18,1977-10-02,47.0,South Kellyton,2021-05-29,82371.0,M0041,Marketing,Relocation,Female,Analyst,2,Yes
E000111,Jon,Petersen,2023-02-16,1974-03-13,50.0,Kellerhaven,2025-09-21,67768.0,M0062,Finance,Better Opportunity,Male,Engineer,1,Yes
E000112,Tina,Rosales,2024-04-18,1980-08-01,44.0,Lake Nicholasfort,2025-11-19,112828.0,M0052,Operations,Better Opportunity,Female,Analyst,5,Yes
E000113,Joseph,Joyce,2023-05-30,2000-06-06,24.0,Gutierrezberg,2024-12-19,81086.0,M0113,Hr,Health Issues,Female,Analyst,5,Yes
E000114,Mark,Joyce,2023-09-08,1977-09-05,47.0,East Jaredland,2023-10-12,131449.0,M0117,Marketing,Resigned,Female,Analyst,4,Yes
E000115,James,Russo,2023-03-08,1975-07-17,49.0,West Jamesside,2024-12-28,73000.0,M0076,Sales,Terminated,Male,Consultant,3,Yes
E000116,Mark,Hayden,2022-06-03,1989-08-10,35.0,Griffinview,2025-07-17,47000.0,M0022,Engineering,Relocation,Female,Analyst,3,Yes
E000117,Robert,Lester,2023-07-09,2000-12-26,24.0,West Whitneyberg,2024-06-29,165240.0,M0039,It,Terminated,Female,Analyst,3,Yes
E000118,Alexandra,Johnson,2024-09-23,1987-06-22,37.0,Jimenezview,2024-11-22,67399.0,M0057,Engineering,Retired,Female,Executive,1,Yes
E001961,Justin,Snyder,2024-06-01,1981-08-27,43.0,Sarahmouth,2025-03-21,77061.0,M0100,It,Resigned,Male,Manager,4,Yes
E000120,David,Zhang,2022-03-15,1989-07-26,35.0,Brettmouth,2025-09-24,38636.0,M0004,Sales,Relocation,Male,Manager,2,Yes
E000121,Melissa,Wilson,2021-05-05,1972-08-10,52.0,Ericview,2022-07-22,31417.0,M0104,Sales,Resigned,Female,Consultant,1,Yes
E000122,April,Williams,2021-09-17,1984-08-16,40.0,Melissaside,2022-07-07,44064.0,M0070,Marketing,Better Opportunity,Female,Analyst,4,Yes
E000123,David,Hernandez,2021-09-01,1977-07-19,47.0,Lake Andrewmouth,2021-12-14,71576.0,M0007,Hr,Health Issues,Male,Engineer,2,Yes
E000124,Paula,Foley,2021-09-07,1965-07-28,58.0,Port Angela,2023-11-23,134754.0,M0096,Hr,Better Opportunity,Female,Engineer,1,Yes
E000125,Erin,Chavez,2023-04-26,1994-05-09,30.0,New Mark,2024-10-09,121845.0,M0015,Sales,Better Opportunity,Male,Consultant,1,Yes
E000126,Brandon,Thompson,2022-05-26,1987-04-17,37.0,Adrienneside,2025-07-18,164000.0,M0096,Finance,Terminated,Female,Manager,1,Yes
E000127,Paul,Morris,2022-07-10,1988-12-06,36.0,Port Jessicaville,2024-01-05,122970.0,M0088,Engineering,Relocation,Female,Engineer,2,Yes
E000128,Joshua,Leach,2024-07-12,1999-09-16,25.0,Jonathanport,2025-01-29,32587.0,M0091,Hr,Terminated,Female,Manager,3,Yes
E000129,Jeremy,Wong,2023-06-10,1990-07-26,34.0,Jacobstad,2023-11-21,62441.0,M0069,Finance,Health Issues,Male,Executive,4,Yes
E000130,William,Griffin,2021-03-04,2003-06-30,21.0,West Cindy,2023-04-30,35509.0,M0025,Hr,Relocation,Male,Consultant,3,Yes
E000131,Andrea,Fry,2024-05-16,1973-07-04,51.0,Stewartshire,2025-05-22,99162.0,M0112,Finance,Retired,Male,Manager,5,Yes
E000132,Thomas,Reynolds,2022-11-03,1987-03-02,37.0,Margaretton,2024-04-02,90161.0,M0039,Finance,Better Opportunity,Male,Executive,2,Yes
E000133,Stacy,Weaver,2021-08-10,1985-09-08,36.0,Taylorview,2022-06-16,80490.0,M0033,It,Relocation,Male,Analyst,2,Yes
E000134,Joshua,Palmer,2023-04-24,1996-07-20,28.0,New Adamberg,2023-06-21,112828.0,M0012,Marketing,Health Issues,Male,Analyst,5,Yes
E000135,Kevin,Williams,2023-09-09,1980-04-02,44.0,Anthonybury,2023-12-02,161056.0,M0045,Sales,Terminated,Male,Analyst,4,Yes
E003965,Tiffany,Sherman,2024-10-24,1965-06-15,59.0,New Scott,2024-11-12,148199.0,M0015,It,Relocation,Female,Manager,3,Yes
E000137,Angela,Wright,2022-06-07,1966-12-20,58.0,Watkinsland,2025-10-14,190790.0,M0079,Hr,Better Opportunity,Female,Analyst,4,Yes
E000138,Jessica,Mcknight,2021-08-08,1980-03-11,44.0,Warnerfurt,2024-08-13,104478.0,M0005,Operations,Resigned,Female,Manager,4,Yes
E000139,Anthony,Anthony,2023-06-17,1979-10-23,45.0,Lisamouth,2025-07-15,104695.0,M0081,Hr,Better Opportunity,Female,Engineer,5,Yes
E000140,Brandon,Lee,2023-05-12,1965-06-26,59.0,Hillshire,2024-10-01,199250.0,M0013,Operations,Terminated,Female,Executive,1,Yes
E000141,Jacob,Fitzgerald,2024-04-03,1991-01-09,34.0,Lake Bryanville,2024-11-10,82349.0,M0011,Hr,Better Opportunity,Male,Analyst,3,Yes
E000142,Justin,Collins,2024-10-03,1986-08-30,38.0,South Scottland,2025-07-02,187574.0,M0023,Engineering,Terminated,Female,Executive,3,Yes
E000143,Marie,Adkins,2021-10-16,1983-03-12,41.0,Lake Jeffmouth,2022-08-24,103064.0,M0092,Operations,Terminated,Female,Consultant,5,Yes
E000144,Danielle,Adams,2024-04-12,1981-05-18,43.0,Armstrongmouth,2025-08-22,161638.0,M0091,Engineering,Resigned,Female,Engineer,1,Yes
E000145,Mindy,Smith,2024-06-14,1968-11-27,56.0,West Kristinstad,2025-10-10,115255.0,M0118,Engineering,Retired,Female,Manager,1,Yes
E000146,Monica,Clark,2023-05-13,1979-01-17,45.0,Lake Johnville,2024-09-03,151637.0,M0034,Finance,Better Opportunity,Female,Manager,1,Yes
E000147,Melanie,Wood,2023-07-31,1983-12-23,41.0,Morrisonbury,2025-04-18,46951.0,M0081,Engineering,Relocation,Female,Executive,1,Yes
E000148,Veronica,Benton,2021-06-10,1979-08-19,45.0,Zhangton,2025-01-16,104558.0,M0061,Engineering,Terminated,Female,Consultant,2,Yes
E000149,Darlene,Campbell,2024-04-18,2002-02-22,22.0,Lake Lee,2025-02-24,71022.0,M0057,Finance,Retired,Male,Analyst,1,Yes
E000150,Nathan,Alexander,2023-04-07,1993-11-11,31.0,Port Melissafort,2023-05-29,120015.0,M0058,Hr,Resigned,Male,Consultant,5,Yes
E000151,Guy,Harris,2023-12-23,1969-01-27,55.0,Barrettburgh,2024-11-02,122115.0,M0042,Marketing,Relocation,Male,Executive,3,Yes
E000152,Michael,Reyes,2022-04-07,1971-06-28,53.0,North Scott,2023-03-14,88547.0,M0084,Hr,Resigned,Female,Analyst,2,Yes
E000153,Melissa,Huynh,2022-08-22,1998-09-18,26.0,East Ashleyhaven,2023-02-27,180481.0,M0062,Engineering,Retired,Male,Analyst,1,Yes
E000154,Emily,Newton,2022-01-25,1981-10-21,43.0,North Kiara,2025-01-01,48097.0,M0117,It,Terminated,Female,Executive,2,Yes
E000155,Michael,Bishop,2023-12-09,1997-11-10,27.0,South Jamestown,2025-03-24,159915.0,M0089,Hr,Terminated,Female,Analyst,5,Yes
E000156,Joe,Blevins,2023-04-10,1966-09-25,58.0,Fisherside,2025-10-14,112828.0,M0085,Operations,Terminated,Male,Analyst,2,Yes
E000157,Paul,Bell,2021-04-11,1971-03-25,53.0,Eddieburgh,2023-10-22,194053.0,M0090,Engineering,Resigned,Male,Engineer,1,Yes
E000158,Terri,Young,2022-02-13,2002-05-21,22.0,Fischerchester,2025-10-06,59593.0,M0049,Marketing,Retired,Female,Engineer,5,Yes
E000159,Donna,Bowers,2024-09-14,1973-08-28,51.0,Frankborough,2025-10-31,112828.0,M0066,Marketing,Relocation,Male,Consultant,4,Yes
E000160,Ashley,Cervantes,2023-02-03,1985-10-10,39.0,South Shannon,2024-08-12,143506.0,M0096,Operations,Better Opportunity,Female,Manager,3,Yes
E000161,Linda,Clark,2021-12-19,1968-10-15,56.0,Lake Joanna,2023-05-07,147844.0,M0081,Finance,Retired,Female,Executive,4,Yes
E000162,Timothy,Blair,2021-04-23,1991-12-17,33.0,North Kaitlinview,2022-01-05,157836.0,M0011,Operations,Better Opportunity,Female,Analyst,1,Yes
E000163,Melissa,Floyd,2021-02-15,1983-09-24,41.0,Andersonshire,2025-10-12,88000.0,M0031,Operations,Terminated,Female,Engineer,1,Yes
E000164,Trevor,Johnson,2022-03-17,1978-04-13,46.0,North Michelle,2022-06-10,192373.0,M0066,Sales,Resigned,Male,Consultant,4,Yes
E000165,Michael,Wilson,2024-09-09,1986-06-23,38.0,Chadstad,2025-03-14,184316.0,M0061,It,Retired,Male,Executive,3,Yes
E004287,Angelica,Howe,2023-07-31,1989-08-12,35.0,West Jessica,2024-05-28,138465.0,M0044,Hr,Relocation,Female,Engineer,1,Yes
E000167,Walter,Moore,2023-02-06,1981-04-13,43.0,North Michael,2023-08-14,32122.0,M0075,It,Retired,Male,Consultant,4,Yes
E000168,Jeffrey,Rogers,2022-08-29,1998-02-15,26.0,Martinton,2024-01-12,109453.0,M0022,Engineering,Retired,Male,Engineer,3,Yes
E000169,Samuel,Goodman,2024-01-13,1986-12-11,37.0,Nathanton,2024-11-02,72566.0,M0005,Marketing,Resigned,Male,Consultant,3,Yes
E000170,Richard,Hawkins,2024-03-10,1968-09-09,56.0,East Molly,2025-01-06,96105.0,M0025,Sales,Resigned,Female,Executive,2,Yes
E000171,Natasha,Jones,2021-04-18,1995-02-23,29.0,West Theresaland,2023-10-29,68792.0,M0011,Operations,Relocation,Male,Consultant,2,Yes
E000172,Jonathan,Parker,2023-05-18,1979-10-15,45.0,West Sarah,2024-03-06,89376.0,M0004,It,Terminated,Male,Executive,2,Yes
E000173,Kayla,Davis,2022-08-28,1989-10-22,35.0,Wilsonstad,2024-01-16,89000.0,M0001,It,Relocation,Male,Manager,3,Yes
E000174,Victor,Heath,2022-05-07,2002-03-14,22.0,Port Eileen,2025-08-23,67909.0,M0020,It,Better Opportunity,Male,Analyst,3,Yes
E000175,Tiffany,Norris,2023-05-24,1999-05-29,25.0,Lake Markberg,2025-06-15,171464.0,M0112,Operations,Relocation,Female,Executive,3,Yes
E000176,Christian,Becker,2021-07-26,2003-07-16,21.0,Taylormouth,2024-12-03,73108.0,M0036,Engineering,Terminated,Male,Engineer,2,Yes
E000177,Craig,Summers,2024-07-08,1967-01-20,57.0,Port Kevinbury,2025-09-25,158650.0,M0075,Operations,Health Issues,Male,Executive,5,Yes
E000178,John,Conner,2022-01-31,1988-03-04,36.0,Combsburgh,2024-05-28,47891.0,M0100,It,Resigned,Male,Manager,1,Yes
